state,gender,education,age,n
Baden-Württemberg,female,-1,1,0
Baden-Württemberg,female,-1,2,0
Baden-Württemberg,female,-1,3,0
Baden-Württemberg,female,-1,4,0
Baden-Württemberg,female,-1,5,0
Baden-Württemberg,female,-1,6,0
Baden-Württemberg,female,-1,7,0
Baden-Württemberg,female,-1,8,0
Baden-Württemberg,female,0,1,0
Baden-Württemberg,female,0,2,0
Baden-Württemberg,female,0,3,0
Baden-Württemberg,female,0,4,0
Baden-Württemberg,female,0,5,0
Baden-Württemberg,female,0,6,0
Baden-Württemberg,female,0,7,0
Baden-Württemberg,female,0,8,0
Baden-Württemberg,female,2,1,260050
Baden-Württemberg,female,2,2,106490
Baden-Württemberg,female,2,3,96790
Baden-Württemberg,female,2,4,139780
Baden-Württemberg,female,2,5,160100
Baden-Württemberg,female,2,6,187870
Baden-Württemberg,female,2,7,284960
Baden-Württemberg,female,2,8,204040
Baden-Württemberg,female,4,1,22020
Baden-Württemberg,female,4,2,386300
Baden-Württemberg,female,4,3,319420
Baden-Württemberg,female,4,4,470220
Baden-Württemberg,female,4,5,388560
Baden-Württemberg,female,4,6,271970
Baden-Württemberg,female,4,7,205930
Baden-Württemberg,female,4,8,107900
Baden-Württemberg,female,5,1,990
Baden-Württemberg,female,5,2,145180
Baden-Württemberg,female,5,3,214090
Baden-Württemberg,female,5,4,245220
Baden-Württemberg,female,5,5,187950
Baden-Württemberg,female,5,6,102010
Baden-Württemberg,female,5,7,50700
Baden-Württemberg,female,5,8,23890
Baden-Württemberg,male,-1,1,0
Baden-Württemberg,male,-1,2,0
Baden-Württemberg,male,-1,3,0
Baden-Württemberg,male,-1,4,0
Baden-Württemberg,male,-1,5,0
Baden-Württemberg,male,-1,6,0
Baden-Württemberg,male,-1,7,0
Baden-Württemberg,male,-1,8,0
Baden-Württemberg,male,0,1,0
Baden-Württemberg,male,0,2,0
Baden-Württemberg,male,0,3,0
Baden-Württemberg,male,0,4,0
Baden-Württemberg,male,0,5,0
Baden-Württemberg,male,0,6,0
Baden-Württemberg,male,0,7,0
Baden-Württemberg,male,0,8,0
Baden-Württemberg,male,2,1,278470
Baden-Württemberg,male,2,2,110180
Baden-Württemberg,male,2,3,76870
Baden-Württemberg,male,2,4,101220
Baden-Württemberg,male,2,5,87240
Baden-Württemberg,male,2,6,72470
Baden-Württemberg,male,2,7,80720
Baden-Württemberg,male,2,8,36850
Baden-Württemberg,male,4,1,25450
Baden-Württemberg,male,4,2,423850
