state,gender,education,age,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Baden-Württemberg,female,2,1,260050,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,2,106490,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,3,96790,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,4,139780,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,5,160100,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,6,187870,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,7,284960,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,8,204040,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,1,22020,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,2,386300,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,3,319420,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,4,470220,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,5,388560,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,6,271970,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,7,205930,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,8,107900,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,1,990,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,2,145180,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,3,214090,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,4,245220,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,5,187950,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,6,102010,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,7,50700,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,8,23890,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,1,278470,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,2,110180,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,3,76870,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,4,101220,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,5,87240,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,6,72470,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,7,80720,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,8,36850,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,1,25450,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,2,423850,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,3,302980,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,4,428250,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,5,365960,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,6,268900,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,7,241620,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,8,91170,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,1,140,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,2,115880,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,3,240400,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,4,342300,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,5,267350,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,6,188290,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,7,132390,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,8,44020,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Bayern,female,2,1,269370,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,2,99870,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,3,94040,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,4,145600,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,5,183010,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,6,229370,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,7,340260,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,2,8,245710,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,1,50900,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,2,467030,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,3,396840,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,4,584280,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,5,466480,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,6,341610,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,7,244620,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,8,129470,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,1,2340,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,2,181720,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,3,270250,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,4,298160,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,5,218410,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,6,112200,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,7,58210,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,8,28140,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,1,298490,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,2,109260,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,3,79810,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,4,102070,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,5,87940,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,6,84210,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,7,102930,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,8,49290,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,1,47870,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,2,504880,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,3,391480,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,4,553200,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,5,466800,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,6,344660,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,7,285950,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,8,103350,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,1,190,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,2,135830,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,3,282360,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,4,393480,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,5,304740,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,6,218200,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,7,141820,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,8,48820,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Berlin,female,2,1,58090,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,2,45500,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,3,34810,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,4,41060,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,5,37730,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,6,37180,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,7,44550,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,8,36510,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,1,4320,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,2,131910,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,3,88320,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,4,107870,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,5,93180,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,6,93300,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,7,84630,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,8,44860,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,1,60,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,2,67620,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,3,106630,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,4,112080,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,5,89360,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,6,63190,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,7,41140,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,8,15480,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,1,60050,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,2,53180,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,3,36850,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,4,42490,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,5,30020,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,6,22300,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,7,19910,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,8,6240,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,1,3850,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,2,133300,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,3,101580,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,4,131360,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,5,101930,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,6,80680,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,7,61880,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,8,17140,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,2,43860,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,3,92290,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,4,101030,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,5,83830,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,6,74560,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,7,55550,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,8,17510,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Brandenburg,female,2,1,34640,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,2,17950,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,3,9810,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,4,10930,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,5,14280,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,6,17580,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,7,46320,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,8,40130,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,1,3570,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
