state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Baden-Württemberg,female,1,2,0,1,1,0,2,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,1,4,1,0,0,1,1,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,2,0,0,1,0,1,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,2,4,2,1,0,2,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,3,2,4,1,5,4,10,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,3,4,1,0,2,1,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,3,5,1,1,4,1,6,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,-1,0,0,1,0,1,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,2,4,0,6,4,10,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,4,0,1,2,0,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,4,5,3,0,4,3,7,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,2,3,2,2,3,7,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,4,2,0,3,2,5,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,5,5,5,2,4,5,11,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,6,2,3,2,6,3,11,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,6,4,1,0,1,1,2,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,6,5,1,0,3,1,4,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,7,2,2,2,4,2,8,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,7,5,1,1,3,1,5,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,8,2,1,0,1,1,2,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,female,8,5,0,0,2,0,2,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,1,4,1,1,3,1,5,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,2,2,0,0,2,2,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,4,1,0,2,1,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,2,5,2,2,1,2,5,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,3,2,3,0,1,3,4,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,3,4,0,0,1,0,1,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,3,5,4,0,4,4,8,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,2,2,0,6,2,8,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,4,1,0,2,1,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,4,5,3,1,5,3,9,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,0,1,0,0,1,1,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,2,7,1,3,7,11,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
Baden-Württemberg,male,5,4,2,0,1,2,3,319.9683310940037,5.155425054349361,0.953,0.956,0.951,0.953
