state,gender,age,education,uni,cohesion
Bayern,male,5,5,ja,kein großer Unterschied
Sachsen-Anhalt,female,8,5,ja,eher mehr
Berlin,male,3,4,nein,eher mehr
Mecklenburg-Vorpommern,female,6,2,Frage nicht gestellt,eher mehr
Thüringen,female,6,2,Frage nicht gestellt,kein großer Unterschied
Schleswig-Holstein,female,6,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,2,4,nein,eher mehr
Berlin,female,3,2,Frage nicht gestellt,eher mehr
Thüringen,female,3,5,ja,kein großer Unterschied
Berlin,male,4,5,ja,kein großer Unterschied
Baden-Württemberg,female,5,2,Frage nicht gestellt,eher weniger
Niedersachsen,male,5,5,ja,eher mehr
Brandenburg,female,4,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,female,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,5,5,ja,eher mehr
Bayern,female,6,2,Frage nicht gestellt,eher mehr
Bayern,male,5,2,Frage nicht gestellt,eher mehr
Sachsen,female,1,4,nein,eher mehr
Hessen,male,4,5,ja,eher mehr
Brandenburg,female,6,5,ja,kein großer Unterschied
Mecklenburg-Vorpommern,female,3,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,5,5,ja,eher weniger
Sachsen-Anhalt,female,6,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,6,4,nein,eher mehr
Bayern,female,6,2,Frage nicht gestellt,kein großer Unterschied
Niedersachsen,female,8,5,ja,eher mehr
Thüringen,female,4,4,nein,kein großer Unterschied
Bayern,female,6,2,Frage nicht gestellt,eher mehr
Bayern,male,4,5,ja,eher weniger
Bayern,female,4,4,nein,eher mehr
Thüringen,female,7,2,Frage nicht gestellt,eher mehr
Bayern,female,5,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,5,5,ja,kein großer Unterschied
Sachsen,female,6,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,male,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,7,2,Frage nicht gestellt,eher mehr
Sachsen-Anhalt,female,7,5,ja,kein großer Unterschied
Baden-Württemberg,male,5,2,Frage nicht gestellt,eher mehr
Bayern,male,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,female,6,4,nein,eher mehr
Schleswig-Holstein,female,4,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,4,5,ja,eher mehr
Nordrhein-Westfalen,female,3,4,nein,eher mehr
Bayern,male,7,5,ja,eher mehr
Berlin,male,3,5,ja,kein großer Unterschied
Brandenburg,male,4,2,Frage nicht gestellt,kein großer Unterschied
Hessen,male,2,2,Frage nicht gestellt,eher mehr
Sachsen,male,4,4,nein,eher weniger
Mecklenburg-Vorpommern,female,6,2,Frage nicht gestellt,eher weniger
Bayern,female,5,2,Frage nicht gestellt,eher mehr
Bayern,female,5,5,ja,kein großer Unterschied
Bayern,male,4,4,nein,eher mehr
Sachsen,female,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,7,2,Frage nicht gestellt,kein großer Unterschied
Schleswig-Holstein,female,6,4,nein,kein großer Unterschied
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,5,4,nein,eher mehr
Bayern,male,7,5,ja,kein großer Unterschied
Brandenburg,female,7,5,ja,kein großer Unterschied
Baden-Württemberg,male,2,5,ja,eher weniger
Bayern,female,6,2,Frage nicht gestellt,eher mehr
Sachsen,female,8,2,Frage nicht gestellt,kein großer Unterschied
Mecklenburg-Vorpommern,male,4,5,ja,kein großer Unterschied
Bayern,female,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,6,5,ja,eher mehr
Hamburg,female,7,2,Frage nicht gestellt,eher mehr
Thüringen,male,4,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,7,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,male,6,2,Frage nicht gestellt,kein großer Unterschied
Hamburg,male,3,5,ja,kein großer Unterschied
Berlin,male,3,4,nein,kein großer Unterschied
Sachsen,female,4,5,ja,kein großer Unterschied
Sachsen,male,5,5,ja,kein großer Unterschied
Sachsen-Anhalt,male,7,5,ja,kein großer Unterschied
Rheinland-Pfalz,female,3,5,ja,kein großer Unterschied
Thüringen,female,6,2,Frage nicht gestellt,eher mehr
Sachsen,male,6,5,ja,kein großer Unterschied
Thüringen,male,4,5,ja,kein großer Unterschied
Thüringen,female,6,5,ja,kein großer Unterschied
Thüringen,male,6,4,nein,kein großer Unterschied
Sachsen,male,6,5,ja,kein großer Unterschied
Thüringen,female,8,5,ja,kein großer Unterschied
Sachsen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,3,4,nein,eher weniger
Baden-Württemberg,female,4,5,ja,eher mehr
Schleswig-Holstein,female,8,2,Frage nicht gestellt,kein großer Unterschied
